Name,Weapon,Class,Ability Tree,AP,Purpose,Type,Hit Type,Target Type,Attack Type,Applied Vulnerability,Applied Status,Anima Deviation,Cast Time,Cooldown,Augments,Affects,Indirect Affects,Description
Concussion,Fist,Melee,The Streets,34,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you apply Impaired, you preform an additional hit that deals 42 physical damage."
Gore,Fist,Melee,The Streets,50,,Active - Elite,Multi Hit,Single Target,N/A,Ranged,,,1000,20000,"Damage, Support",,,"Charge 15 meters to your target. The target must be at least 3 meters away. You charge to your target dealing 186 physical damage to up to 6 enemies in a 5 meter radius and you arrive you gain the minor Evade Chance effect, which increases your chance to evade by 10% for 8 seconds. Affect targets also become afflicted with a damage over time effect that deals 17 physical damage every 0.5 seconds for 5 seconds. The duration of this affliction will be refreshed by hits from any attack, however glancing hits will remove it."
Surgical Steel,Fist,Melee,Warming Up,9,,Active – Consumer,"Mutii Heal, HoT",Single Target,Burst,,,,1000,0,Healing,,,"Consumes all Fist resources. A Burst heal that deals the defensive target 3 times for 19 – 37 per application and gives a heal over time effects that heals for 9 – 19 every second for 4 seconds. Heal effects scale based on the number of resources consumed. Gives you the Savage Sweep effect, causing the next Fist resource consumer you activate to deal 3 – 14 physical damage in an area around you."
Hot Iron,Fist,Melee,Warming Up,12,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you apply a direct heal, you build a Hot Iron Counter. When there are 7 counters, your next direct healing ability will heal for and additional 50%."
Cauterize,Fist,Melee,Warming Up,16,,Active – Builder,"Single Heal, HoT",Single Target,N/A,,,,1000,0,Healing,,,Builds 1 Fist resource. Heals the defensive target for 40 and gives a heal over time effect that heals for 3 every second for 4 seconds. This effect can stack up to 3 times.
Healing Sparks,Fist,Melee,Warming Up,21,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you activate a Burst ability, you give the defensive target a heal over time effect that heals for 8 every second for 4 seconds."
Creature Comfort,Fist,Melee,Warming Up,27,,Active – Consumer,HoT,Single Target,N/A,,,,1000,0,Healing,,,"Consumers all Fist resources. Your defensive target gains a direct heal over time effect that heals for 17 – 32 every second for 6 seconds, based on resources consumed. Gives you the Feral Regrowth effect, causing your next Fist consumer to heal 6 – 30."
Glimmer of Hope,Fist,Melee,Warming Up,34,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,You heal over time effect have a 15% chance to heal you for 20 when they apply their effects.
Radiance,Fist,Melee,Warming Up,50,,Active - Elite,N/A,Self,N/A,,,,0,40000,Support,,,"For the next 6 seconds, all your heal over time effects are guaranteed to critically heal and heal for 50% more. This ability does not trigger and is not affected by global recharge time."
Renewal,Fist,Melee,Heat of Battle,9,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you hit and Impaired target, you apply a detrimental effect which causes anyone attacking the target to gain a heal over time effect for 6 every seconds for 4 seconds."
Empathy,Fist,Melee,Heat of Battle,12,,Active,Single Heal,Single Target,N/A,,,,1000,25000,"Support, Healing",,,"Heals the defensive target for 128, or 147 if the target has a heal over time effect active."
Restraint,Fist,Melee,Heat of Battle,16,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you hit, you build a Restraint counter. When you have 6 counters, your next hit causes the target to become Impaired and unable to activate abilities for 3 seconds. If you preform a glancing hit, the counter is reset."
Vigor,Fist,Melee,Heat of Battle,21,,Active,Auto Multi Heal,PBAoE,N/A,,,,1000,20000,"Support, Healing",,,Places a healing area at the targeted point that last 5 seconds. Every second it heals up to 6 friends in a 5 meter radius for 17.
Making Amends,Fist,Melee,Heat of Battle,27,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,You heal over time effects are 10% more effective.
Muzzle,Fist,Melee,Heat of Battle,34,,Active,Single Hit,Single Target,N/A,,Impaired,,1000,45000,"Damage, Support",,,A single target attack that deals 98 physical damage. The target also becomes Impaired and unable to activate abilities for 5 seconds. This ability has a 15 meter range.
Empowerment,Fist,Melee,Heat of Battle,50,,Passive - Elite,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,Whenever a heal over time effect critically hits the target is healed for 46.
Shelter,Fist,Melee,Play with Fire,9,,Active – Builder,"Single Heal, HoT",PBAoE,N/A,,,,1000,0,Healing,,,Builds 1 Fist resource. A PBAoE heal that heals for 13. Affected targets are also given a heal over time effect that heals for 5 every second for 3 seconds.
Trespass,Fist,Melee,Play with Fire,12,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,“Shelter” also deals 4 physical damage to up to 6 targets in a 5 meter radius around you. Increases the duration of the heal over time by “Shelter” by 3 seconds.
Blast of Light,Fist,Melee,Play with Fire,16,,Active – Consumer,Single Heal,Cone,Blast,,,,1000,0,Healing,,,Consumes all Fist resources. A cone Blast heal that heals for 19 – 38. You are healed for 14 – 29. Affected targets also gain a heal over time for 7 - 14 every second for 6 seconds. You gain a heal over time effect that heals you for 3 – 7 every second for 6 seconds. Heal effects scale based on resources consumed.
Positive Reaction,Fist,Melee,Play with Fire,21,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,"Whenever you hit with a Blast ability, your defensive target gains a reactive heal effect that heals for 12 the next time it is attacked. If you heal with a Blast you and your defensive target will get the same reactive heal."
Inner Spark,Fist,Melee,Play with Fire,27,,Active – Consumer,Auto Multi Heal,Single Target,N/A,,,,1000,0,Healing,,,"Consumers all Fist resources. You give your defensive target a reactive heal effect that heals for 7 -13 whenever It is attacked, based on resources consumed. The effect has a duration of 10 seconds."
Kindle,Fist,Melee,Play with Fire,34,,Passive,N/A,N/A,N/A,,,,N/A,N/A,N/A,Inner Spark,,“Inner Spark” instead heals for 8 – 16 whenever your defensive target is attacked. Increases the duration of “Inner Spark” by 5 seconds.
Fired Up,Fist,Melee,Play with Fire,50,,Active - Elite,"Single Heal, HoT",Group Wide,N/A,,,,1000,20000,"Support, Healing",,,Heals all group members for 249. Also applies a heal over time effect that heals for 38 every second for 4 seconds.
Shock,Elementalism,Magic,,1,,Active - Builder,,,,,,,1000,0,Damage,,,Builds 1 resource for each equipped weapon. A single target attack that deals 49 magical damage.
Volatile Current,Elementalism,Magic,,1,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit with ""Shock,"" the target also becomes Afflicted with a damage over time effect that deals 7 magical damage every second for 10 seconds."
Combust,Elementalism,Magic,,1,,Active - Consumer,,,,,,,1500,0,Damage,,,Consumes 2 Elemental Resources. A single target attack that deals 173 magical damage. The Elemental Resource cost is reduced by 1 when attacking Hindered targets.
Rapid Combustion,Elementalism,Magic,,2,,Passive,,,,,,,N/A,N/A,N/A,,,"Reduces the activation time of ""Combust"" by 0.5 seconds."
Electrical Storm,Elementalism,Magic,,3,,Active - Consumer,,,,,,,1500,0,Damage,,,"Chain: Jumps up to 5 metres 5 times, hitting up to 6 enemies. Consumes 3 Elemental Resources. A Chain attack that deals 96 magical damage."
Elemental Precision,Elementalism,Magic,,4,,Passive,,,,,,,N/A,N/A,N/A,,,Increases direct damage dealt by Elementalism abilities by 10%.
Molten Earth,Elementalism,Magic,,7,,Active - Elite,,,,,,,1000,25000,"Damage, Support",,,A single target attack that deals 348 magical damage. The target also becomes Hindered and rooted to the ground for 8 seconds. Susceptible to Anima Deviation.
Mind over Matter,Elementalism,Magic,,1,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you critically hit, the target also becomes Afflicted with a damage over time effect that deals 9 damage every second for 5 seconds."
Ignite,Elementalism,Magic,,1,,Active - Builder,,,,,,,1000,0,Damage,,,"Builds 1 resource for each equipped weapon. A single target attack that deals 46 magical damage, or 54 magical damage if you have no Elemental Resources."
Elemental Force,Elementalism,Magic,,1,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you finish activating a damagin ability, you build an Elemental Force counter. When you have 5 counters, the count will reset and you will gain a beneficial effect which increases your Critical Chance by 20% for 5 seconds. Elemental Force counters cannot be gained while this effect is active."
Anima Charge,Elementalism,Magic,,2,,Active,,,,,,,500,30000,Support,,,You receive an effect that causes the next Elemental resource consumer you activate within 20 seconds to cost no resources. This ability does not trigger and is not affected by global recharge time.
High Voltage,Elementalism,Magic,,3,,Passive,,,,,,,N/A,N/A,N/A,,,"Improves ""Anima Charge"" to cause the Elemental resource consumer you activate to critically hit."
Thor's Hammer,Elementalism,Magic,,4,,Active - Consumer,,,,,,,2000,0,Damage,,,Consumes 5 Elemental Resources. A single target Strike attack that deals 257 magical damage.
Toxic Affinity,Elementalism,Magic,,7,,Passive - Elite,,,,,,,N/A,N/A,N/A,,,Increases the duration of Afflicted effects you apply by 35%. Afflicted effects you apply have a 20% increased chance to critically hit.
Electrical Bolt,Elementalism,Magic,,9,,Active - Builder,,,,,,,1000,0,Damage,,,"Builds 1 resource for each equipped weapon. A single target attack that deals 49 magical damage. If the target is Hindered, this attack generates an additional Elemental Resource."
High Boltage,Elementalism,Magic,,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Increases the critical chance of ""Electrical Bolt"" by 10%."
Flame Strike,Elementalism,Magic,,16,,Active - Consumer,,,,,,,1000,0,Damage,,,Consumes 2 Elemental Resources. A single target Strike attack that deals 127 magical damage
Violent Strikes,Elementalism,Magic,,21,,Passive,,,,,,,N/A,N/A,N/A,,,Increases the critical chance of your Strike abilities by 7.5%.
Blaze,Elementalism,Magic,,27,,Active - Consumer,,,,,,,1500,0,Damage,,,"Consumes 3 Elemental Resources. A single target attack that deals 184 magical damage, or 202 magical damage to Afflicted targets."
Aidelon,Elementalism,Magic,,34,,Passive,,,,,,,N/A,N/A,N/A,,,"""Blaze"" has a 40% increased chance to critically hit Afflicted targets."
Power Line-Voltaic Detonation,Elementalism,Magic,,50,,Active - Elite,,,,,,,500,20000,"Damage, Support",,,"Power Line: Attaches a leash to the target that lasts for 10 seconds. Every second it will deal 14 magical damage and grant 1 stack of the ""Power Line"" effect. The ""Power Line"" effect will increase the damage dealt by ""Voltaic Detonation"" by up to 200% at the maximum stacks. This ability is not affect by the global recharge time. Applies Vulnerable to Ranged. Becomes ""Voltaic Detonation"" after activation. Voltaic Detonation: A single target attack that deals 226 magical damage. Upon activation, the ""Power Line"" effect will terminate. This ability can only be used on targets affects by ""Power Line."""
Molecular Exploitation,Elementalism,Magic,,9,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit an Afflicted target, you perform an additional hit that deals 7 magical damage."
Coldwave,Elementalism,Magic,,12,,Active - Consumer,,,,,,,1000,45000,"Damage, Support",,,PBAoE: Affects up to 6 enemies in a 5 metre radius around you. A PBAoE attack that deals 55 magical damage. Affected targets are also Hindered and rooted to the ground for 4 seconds.
Criticality,Elementalism,Magic,,16,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you critically hit an Afflicted target, you trigger an attack which jumps up to 5 metres 5 times, hitting up to 6 enemies, dealing X magical damage."
Flicker,Elementalism,Magic,,21,,Active,,,,,,,1000,20000,Support,,,"You teleport 10 metres forward, cleansing all root and snare effects from you."
Highly Strung,Elementalism,Magic,,27,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you reach 0 Elemental Resources after using an Elemental resource consumer, you gain a beneficial effect, which causes you to deal 10% more damage for 6 seconds."
Flashpoint,Elementalism,Magic,,34,,Active,,,,,,,2000,10000,"Damage, Support",,,"A single target attack that deals 63 magical damage. The target also becomes Afflicted with a damage over time effect that deals 15 magical damage every seconds for 5 seconds. If the target is already Afflicted, it will cause 6 enemies in a 5 metre radius around them to become afflicted with a damage over time effect that deals 29 magical damage each second for 5 seconds."
Live Wire,Elementalism,Magic,,50,,Passive - Elite,,,,,,,N/A,N/A,N/A,,,"Whenever you critically hit you gain the Live Wire effect which causes your next hit to trigger an additional hit, dealing 84 magical damage."
Arc Flash,Elementalism,Magic,,9,,Active - Builder,,,,,,,1000,0,Damage,,,"Chain: Jumps up to 5 metres 5 times, hitting up to 6 enemies. Builds 1 resource for each equipped weapon. A Chain attack that deals 24 magical damage."
Death Density,Elementalism,Magic,,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you or a member of your group kills an enemy, you gain the Minor Critical Chance effect, which increases your Critical Chance by 10% for 8 seconds."
Inferno,Elementalism,Magic,,16,,Active - Consumer,,,,,,,1500,0,Damage,,,GTAoE: Affect up to 6 enemies in a 7 metre radius around the targeted point. Consumes 5 Elemental Resources. A GTAoE attack that deals 115 magical damage.
Purgatory,Elementalism,Magic,,21,,Passive,,,,,,,N/A,N/A,N/A,,,"Improves ""Inferno to also leave a 5 metre radius area fpr 10 seconds. Every second up to 6 enemies in the area are dealt 3 magical damage."
Conditional Force,Elementalism,Magic,,27,,Active - Consumer,,,,,,,1000,0,Damage,,,"Chain: Jumps up to 5 metres 5 times, hitting up to 6 enemies. Consumes 2 Elemental Resources. A Chain attack that deals 64 magical damage. If any of the affected targets are Hindered, the Elemental Resource cost is refunded."
Chain Reaction,Elementalism,Magic,,34,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit with Chain abilities, your target becomes Afflicted with a damage over time effect that deals 7 magical damage every second for 10 seconds."
Whiteout,Elementalism,Magic,,50,,Active - Elite,,,,,,,1000,25000,"Damage, Support",,,Places an area at the targeted point that lasts 8 seconds. Every 0.5 seconds it will deal 25 magical damage to up to 6 enemies in a 5 metre radius. Targets that are hit 5 times becomes Hindered and rooted to the ground for 4 seconds. Susceptible to Anima Deviation.
Ignition,Elementalism,Magic,,9,,Active - Builder,,,,,,,500,0,Damage,,,Builds 1 resource for each equipped weapon. A Strike attack that deals 49 magical damage.
Dial Down,Elementalism,Magic,,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you apply Hindered, you also purge 1 beneficial effect from the target."
Fire Manifestation,Elementalism,Magic,,16,,Active - Consumer,,,,,,,1000,10000,"Damage, Support",,,Consumes 2 Elemental Resources. Places a manifestation at the targeted point that lasts 10 seconds. Every 2.5 seconds it will deal 51 magical damage to the closest enemy within a 5 metre radius.
Social Dynamo,Elementalism,Magic,,21,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you critically hit with Strike abilities, all group members gain a single stack of the Critical Rating effect, which increases Critical Rating by 40 per stack for 8 seconds. This effect can stack up to 5 times."
Magnetic Wipe,Elementalism,Magic,,27,,Active - Consumer,,,,,,,1000,0,Damage,,,"Consumes 3 Elemental Resources. A single target attack that deals 144 magical damage. Also purges 1 beneficial effect from the target, or 2 beneficial effects if the target is Afflicted."
Magnetic Variance,Elementalism,Magic,,34,,Passive,,,,,,,N/A,N/A,N/A,,,Your critical hits have a 50% chance to also purge 1 beneficial effect from the target.
Hard Reset,Elementalism,Magic,,50,,Active - Elite,,,,,,,2000,35000,"Damage, Support",,,A single target attack that deals 351 magical damage and purges all beneficial effects from the target. This attack will always critically hit. Affect targets are unable to act for 1.5 seconds. The target also receives a detrimental effect that purges all beneficial effects every second for 10 seconds. This ability has a 7.5 metre range. Susceptible to Anima Deviation.
Critical Control,Elementalism,Magic,,9,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit a Hindered target, all group members gain a single stack of the Critical Rating effect, which increases Critical Rating by 40 per stack for 8 seconds. This effect can stack up to 5 times."
Electromagnetic Manifestation,Elementalism,Magic,,12,,Active,,,,,,,1000,90000,"Damage, Support",,,"Places a manifestation at the targeted point that lasts 20 seconds. Every second it will hit up to 6 enemies in a 10 metre radius, dealing 6 magical damage. Affected targets will also be purged of 1 beneficial effect."
Damage Control,Elementalism,Magic,,16,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you critically hit a Hindered target, you hit an additional time, dealing 29 magical damage."
Short Fuse,Elementalism,Magic,,21,,Active,,,,,,,0,90000,Support,,,"Gives all group members the Short Fuse effect, which increases all damage by 20% for 10 seconds. This effect can only affect a target once every 90 seconds. This ability does not trigger and is not affects by global recharge time."
Final Fuse,Elementalism,Magic,,27,,Passive,,,,,,,N/A,N/A,N/A,,,"Upgrades that damage increase effect given by ""Short Fuse"" to 30% damage increase for 10 seconds."
Ice Manifestation,Elementalism,Magic,,34,,Active - Consumer,,,,,,,1000,45000,"Damage, Support",,,"Places a manifestation at the targeted point that lasts 9 seconds. Every 3 seconds it will hit up to 6 enemies in a 5 metre radius, dealing 30 magical damage. Targets affected by the initial hit will also be Hindered and rooted to the ground for 2 seconds, targets affected by the remaining hits will be rooted to the ground for 0.5 seconds."
Big Bang,Elementalism,Magic,,50,,Passive - Elite,,,,,,,N/A,N/A,N/A,,,"Whenever a manifestion, turret, mine or drone deals damage, you perform an additional hit on the target and up to 6 enemies within 5 metres around it and deals 17 magical damage."
Wildfire,Elementalism,Magic,,9,,Active - Builder,,,,,,,1000,0,Damage,,,TAoE: Affects up to 6 enemies in a 5 metre radius around the target. Builds 1 resource for each equipped weapon. A TAoE attack that deals 24 physical damage.
Phantom Purge,Elementalism,Magic,,12,,Passive,,,,,,,N/A,N/A,N/A,,,Chain attacks have a 33% chance to purge 1 beneficial effect from the target.
Lightning Manifestation,Elementalism,Magic,,16,,Active,,,,,,,1000,15000,"Damage, Support",,,"Consumes 2 Elemental Resources. Places a manifestation at the targeted point that lasts 10 seconds. Every second, it performs a Chain attack that deals 13 magical damage, or 15 magical damage if the target is Hindered."
Grounded,Elementalism,Magic,,21,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you use a purge ability, you perform an additional hit dealing 21 magical damage."
Burnout,Elementalism,Magic,,27,,Active - Consumer,,,,,,,2000,0,Damage,,,GTAoE: Affects up to 6 enemies in a 5 metre radius around the targeted point. Consumes 5 Elemental Resources. A GTAoE attack that deals 137 magical damage. Affected targets that are Hindered are purged of 2 beneficial effects.
Lightning in a Bottle,Elementalism,Magic,,34,,Passive,,,,,,,N/A,N/A,N/A,,,"Improves ""Lightning Manifestation"" to also purge 1 beneficial effect from each affected target."
Overload,Elementalism,Magic,,50,,Active - Elite,,,,,,,3000,20000,"Damage, Support",,,Channelled: Every second for 3 seconds. GTAoE: Affects up to 6 enemies in a 10 metre radius around the targeted point. A channelled GTAoE attack that deals 71 magical damage per hit. Enemies in the area have their movement speed reduced by 30%. The last hit will deal 318 magical damage. Applies Vulnerable to Melee.
Hand of Change,Chaos,Magic,,1,,Active - Builder,,,,,,,1000,0,Damage,,,Builds 1 resource for each equipped weapon. A single target attack that deals 49 magical damage.
Entropy,Chaos,Magic,,1,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you critically hit or penetrate with ""Hand of Change,"" it builds 1 additional Chaos Resource."
Call for Eris,Chaos,Magic,,1,,Active - Consumer,,,,,,,1000,0,Damage,,,"Consumes all Chaos Resources. A Burst attack that deals 70 magical damage. Also performs an additional hit per resource consumed, dealing 22 - 24 magical damage per hit. Damage of the additional hits cales based on the number of resources consumed."
Paradigm Shift,Chaos,Magic,,2,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you apply Weakened, you have a 30% chance to gain the Minor Hit Chance effect, which reduces the chance of glancing by 10% for 8 seconds."
Schism,Chaos,Magic,,3,,Active - Consumer,,,,,,,1000,0,Damage,,,"Consumes all Chaos Resources. A single target attack that deals 84 - 167 magical damage, or 104 - 206 magical damage if the target has below 35% remaining health. Damage scales based on the number of resources consumed."
Chaos Adept,Chaos,Magic,,4,,Passive,,,,,,,N/A,N/A,N/A,,,Increases direct damage dealt by Chaos abilities by 10%.
Domino Effect,Chaos,Magic,,7,,Active - Elite,,,,,,,1000,25000,"Damage, Support",,,"PBAoE: Affects up to 6 enemies in up to a 7 metre area around you. A PBAoE attack that damages and pulls affected targets towards you. Affected targets also become Impaired and and knocked to the ground. The range, amount of damage dealt, and impairment duration of this ability are based on the number of targets hit and the range at which they are hit: ○ Prompt Critical Event: When only one enemy is within 3 metres this ability deals 348 damage and impairs for 1 second. ○ Double-Six Quantum Pieces: When one enemy is within 3 metres and a second is within 5 metres this ability deals 314 damage and impairs for 3 seconds. ○ Cascading Boneyard: When at least one enemy is within 3 metres, a second is within 5 metres, and a third is within 7 metres this ability deals 296 damage and impairs for 4 seconds."
Gnosis,Chaos,Magic,,1,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit a Weakened target, there is a 33% chance to perform a additional hit dealing 21 magical damage."
Escalation,Chaos,Magic,,1,,Active - Builder,,,,,,,1000,0,"Damage, Survivability",,,PBAoE: Affects up to 6 enemis in a 5 metre area around you. Builds 1 resource for each equipped weapon. A PBAoE Frenzy ability that deals 24 magical damage. Generates a high amount of hate.
Intensity,Chaos,Magic,,1,,Passive,,,,,,,N/A,N/A,N/A,,,"Improves ""Escalation"" by reducing the chance that it will glance by 5%, increasing the hate it generates by 20%, and it will also cause affected targets to become Weakened by a single stack of the Exposed effect, which increases all damage received by 2% per stack for 10 seconds. Exposed can stack up to 10 times."
Illusion,Chaos,Magic,,2,,Active,,,,,,,0,45000,"Support, Survivability",,,"You gain the Major Evade Chance effect, which increases your Evade Chance by 35% for 6 seconds. This ability does not trigger and is not affected by global recharge time."
Master of Illusions,Chaos,Magic,,3,,Passive,,,,,,,N/A,N/A,N/A,,,"""Illusion"" instead gives you a beneficial effect that increases your Evade Chance by 45% for 8 seconds."
Paradox,Chaos,Magic,,4,,Active,,,,,,,1000,10000,Damage,,,"A single target attack that deals 87 magical damage, or 118 magical damage if the target is Impaired."
Probability,Chaos,Magic,,7,,Passive - Elite,,,,,,,N/A,N/A,N/A,,,"Whenever you evade, you gain the Major Ward effect, which reduces all damage received by 25% for 6 seconds. Whenever you hit 3 times in a row, you gain a beneficial effect that increases all damage dealt by 8% for 10 seconds."
Deconstruct,Chaos,Magic,,9,,Active - Builder,,,,,,,1000,0,Damage,,,Builds 1 resource for each equipped weapon. A single target attack that deals 46 magical damage. Builds 2 Chaos resources if the target is below 35% health
Cutting Thoughts,Chaos,Magic,,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit, you build a Cutting Thoughts counter. When there are 5 counters, your next hit performs an additional 3 hits, dealing 14 magical damage per hit. If you perform a glancing hit, the counter will be reset."
Four Horsemen,Chaos,Magic,,16,,Active - Consumer,,,,,,,1000,0,Damage,,,"Consumes all Chaos Resources. A single target Burst that hits 4 times, dealing 21 - 34 magical damage per hit, based on the number of resources consumed. Each hit causes the next hit to deal more damage, this bonus stops if a hit glances"
Ripple Effect,Chaos,Magic,,21,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever 2 hits in a row of a Burst attack do no glance, your next attack will perform an additonal hit dealing 8 magical damage."
Pulling the Strings,Chaos,Magic,,27,,Active - Consumer,,,,,,,1000,0,Damage,,,"Consumes all Chaos Resources. A single target attack with a 7 metre range that deals 87 - 176 magical damage, based on the number of resources consumed. If the target is Weakened, you gain the Minor Hit Chance effect, which reduces the chance of glancing by 10% for 8 seconds."
Pale Horse,Chaos,Magic,,34,,Passive,,,,,,,N/A,N/A,N/A,,,"Improves ""Pulling the Strings"" and ""Four Horsemen"" to deal 30% more damage to targets with less than 35% health remaining."
Prisoner of Fate,Chaos,Magic,,50,,Active - Elite,,,,,,,5000,20000,"Damage, Support",,,"Channelled: Every second for 5 seconds. A channelled attack that deals 153 magical damage per hit, or 216 magical damage if the target's health is below 35%. This ability has a 7 metre range. Applies Vulnerable to Melee."
Breakdown,Chaos,Magic,,9,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit a target with a Chaos, Blade or Hammer ability, it becomes Weakened by a single stack of the Exposed effect, which increases all damage received by 2% per stack for 10 seconds. Exposed can stack up to 10 times."
Amor Fati,Chaos,Magic,,12,,Active,,,,,,,0,60000,Support,,,Gives you a beneficial effect that increases all damage dealt by 10%. Your attacks cannot glance or be evaded. This effect lasts 10 seconds. This ability does not trigger and is not affected by global recharged time.
Pressure Point,Chaos,Magic,,16,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit, you build a Pressure Point counter. When there are 6 counters, your next attack will cause your target to become Impaired and knocked to the ground for 3 seconds. The count is then reset. This effect has an internal recharge time of 30 seconds."
Helter Skelter,Chaos,Magic,,21,,Active,,,,,,,1000,35000,"Damage, Support",,,"Column Dash: Dash forward 10 metres, affecting up to 6 enemies in a 6 metre wide column along the way. A column dash attacl that deals 67 magical damage. Affected targets become Impaired and unable to act for 3 seconds."
Pattern Recognition,Chaos,Magic,,27,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit an Impaired target, you perform an additional hit dealing 42 magical damage. This has a 15% chance of performing an additional hit for the same damage."
Discord Rising,Chaos,Magic,,34,,Active,,,,,,,1000,30000,"Damage, Support",,,"Creates a 10 metre radius area at your feet, which will more 10 metres forward over 1.5 seconds. The area will deal 55 magical damage to all enemies it touches on its way, and also cause them to become Weakened by 3 stacks of the Exposed effect. This effect increases all damage received by 2% per stack for 10 seconds, and can stack up to 10 times."
From the Abyss,Chaos,Magic,,50,,Passive - Elite,,,,,,,N/A,N/A,N/A,,,"Whenever you hit, you build a From the Abyss counter. When there are 3 counters, you deal 50 magical damage to up to 6 enemies in a 5 metre radius around you, or 65 magical damage to targets that have less than 35% health remaining"
Wheel of Knives,Chaos,Magic,,9,,Active - Builder,,,,,,,1000,0,Damage,,,PBAoE: Affects up to 6 enemies in a 5 metre radius around you. Builds 1 resource for each equipped weapon. A Frenzy attack that deals 24 physical damage.
Wheel of Misfortune,Chaos,Magic,,12,,Passive,,,,,,,N/A,N/A,N/A,,,"""Wheel of Knives"" performs an additional hit to Weakened and Impaired targets, dealing 6 magical damage."
Maelstrom,Chaos,Magic,,16,,Active - Consumer,,,,,,,1000,0,Damage,,,PBAoE: Affects up to 6 enemies in a 5 metre radius around you. Consumes all Chaos Resources. A PBAoE attack that deals 45 - 90 magical damage.
Hysteria,Chaos,Magic,,21,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit with a Frenzy attack, you gain a single stack of the Hit Rating effect, which increases Hit Rating by 40 per stack for 8 seconds. This effect can stack up to 5 times."
Cry Havoc,Chaos,Magic,,27,,Active - Consumer,,,,,,,1000,0,Damage,,,"TAoE: Affects up to 6 enemies in a 5 metre radius around your target. Consumes all Chaos Resources. A TAoE attack that deals 42 - 86 magical damage, based on the number of resources consumed. If any target in the affected area is Impaired, it creates a damaging ground area at their feet which deals 9 magical damage every second for 5 seconds."
Sick Society,Chaos,Magic,,34,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit a target below 35% health, you perform an additional hit that deals 20 magical damage."
Eye of Pandemonium,Chaos,Magic,,50,,Active - Elite,,,,,,,1000,25000,"Damage, Support",,,"A single target attack that deals 279 magical damage and causes the target to become Hindered and rooted to the ground for 4 seconds. For the next 10 seconds, up to 6 enemies between 1 and 7 metres of the target will be dealt 14 magical damage each seconds and have a 30% chance to become Impaired as they are knocked into the air. Applies Vulnerable to Ranged. Susceptible to Anima Deviation."
Run Rampant,Chaos,Magic,,9,,Active - Builder,,,,,,,1000,0,"Damage, Survivability",,,"Builds 1 resource for each equipped weapon. A single target Burst attack that hits 3 times, dealing 16 physical damage per hit. Gives you a single stack of the Evade Rating effect, which increases your Evade Rating by 40 per stack for 8 seconds. This effect can stack up to 5 times."
Inevitability,Chaos,Magic,,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever a Weakened target attacks you, you have a 15% chance to gain the Minor Evade Chance effect, which increases Evade Chance by 10% for 8 seconds."
Consequence,Chaos,Magic,,16,,Active - Consumer,,,,,,,1000,0,"Damage, Survivability",,,"Consumes all Chaos Resources. A single target attack that deals 70 - 159 magical damage, based on the number of resources consumed. Gives you the Minor Ward effect, which reduces all damage received by 7.5% for 8 seconds. Also gives you another beneficial effect that causes the next hit against you to deal 20 magaical damage back to the attacker, who becomes Weakened by 1 stack of the Exposed effect. Exposed increases all damage by 2% per stack for 10 seconds and ca stack up to 10 times."
